,in~the~beginning~god~created~the~heavens~and~the~earth~.~now~the~earth~was~formless~and~empty~.
ephron,"the^was^in^answered^.^,~son^sitting^hittite^the^abraham^silver^which~of^in^answered^audience^,^weighed^which^was^son^as~zohar^the^abraham^of^saying^to^he^in^a^before~,^middle^in^the^to^ephron^had^machpelah^zohar^burial^mamre~that^of^the^people^him^named^,^cave^place^.~he^the^hearing^of^,^silver^in^which^hittite^that^.^joseph~may^children^of^the^""^which^was^,^is^there^returned~give^of^the^land^my^he^audience^before^which^in^they^into~me^heth^children^,^lord^had^of^mamre^is^the^buried^egypt~the^.^of^saying^,^named^before^field^abraham^-~cave^ephron^heth^,^listen^in^children^the^mamre^of^and^-~of^the^,^""^to^field^machpelah^sarah^he~machpelah^hittite^even^but^me^audience^heth^,^the~,^answered^of^if^.^the^field^which^his^and~which^abraham^all^you^what^the^four^cave^is^wife^his~he^in^who^will^is^children^hundred^which^abraham^before^.^brothers~has^the^went^,^a^of^shekels^was^purchased^mamre^there~,^hearing^in^please^piece^heth^of^they^and"
sixth,"day^son~.^to~the^jacob~heavens^.~and^leah~the^said~earth^,~were^""~finished^god~,^has~and^endowed~all^me~their^with~vast^a~array^good~.^dowry~on^.~the^now~seventh^my"
machpelah,",^before~which^mamre^in~he^was^(^the^is^abraham~has^before^that^field^bought~,^mamre^is^of^with~which^,^ephron^the~is^the^hebron^,^in^field~in^field^)^the^,~the^,^son^land^for~end^the^in^of^a~of^cave^the^zohar^canaan^possession~his^which^land^the^,^of~field^was^of^hittite^which^a~.^in^canaan^,^abraham^burial~for^it^.^which^bought^site~the^,^is^with~full^and^field^before^the^from~price^all^,^mamre^field^ephron~let^the^and^,^from"
ephrath,",^(~and^the~rachel^same^i~travailed^is^buried~.^bethlehem^her~she^)^there~had^.^in~hard^jacob^the^""~labor^set^way^israel~.^up^to^saw~when^a^ephrath^joseph's~she^pillar^(^sons~was^on^the^,~in^her^same^and~hard^grave^is^said~labor^.^bethlehem^,~,^the^)^""~the^same^.^who~midwife^is^""^are"
proceeds,"from~yahweh~.~we~can't~speak~to~you~bad~or~good~.~behold~,~rebekah~is~before~you~."
position,"again~,~and~he~gave~the~cup~into~pharaoh's~hand~;~but~he~hanged~the~chief~baker~,~as"
scarlet,"thread~on~his~hand~,~saying^and~,^his~""^name~this^was~came^called~out^zerah~first^.~.^joseph~""^was~it^brought~happened^down~,^to~as^egypt~he^."
require,"your^it^the^him~blood^.^life~of^at^if~your^the^man^i~lives^hand^.^don't~.^of^whoever^bring~at^man^sheds^him~the^,^man's^to~hand^even^blood^you~of^at^,~every^the^his^and~animal^hand^blood^set~i^of^will^him~will^every^be^before~require^man's^shed^you~it^brother^by^,~.^,^man^then~at^i^,^let~the^will^for^me"
ourselves,"a^down^,^?~city^name^to^and^god~,^you^concerning^has~and^lest^to^our^found~a^we^the^relatives^out~tower^be^earth^,^the~whose^scattered^?^saying^iniquity~top^abroad^""^,^of~reaches^on^his^'is^your~to^the^brothers^your^servants~the^surface^envied^father^.~sky^of^him^still^behold~,^the^alive~and^whole^but^?^we~let's^earth^his^have^are~make^.^father^you^my~ourselves^""^kept^another^lord's~a^yahweh^this^brother^bondservants~name^came^saying^?^,"
attack,"us~,~and~seize~us~as~slaves~,~along~with~our~donkeys~.~""~they~came~near~to~the"
