,[]
labor,"['labour', 'working_class', 'proletariat', 'toil', 'parturiency', 'confinement', 'lying-in', 'travail', 'childbed', 'labor_movement', 'trade_union_movement', 'British_Labour_Party', 'Labour_Party', 'Labour', 'Labor', 'Department_of_Labor', 'Labor_Department', 'DoL', 'undertaking', 'project', 'task', 'tug', 'push', 'drive', 'fag', 'grind', 'drudge', 'dig']"
tribes,"['tribe', 'folk', 'federation_of_tribes', 'kin', 'kin_group', 'kinship_group', 'kindred']"
'what,[]
korah,[]
wolf,"['Wolf', 'Hugo_Wolf', 'Friedrich_August_Wolf', 'woman_chaser', 'skirt_chaser', 'masher', 'beast', 'savage', 'brute', 'wildcat']"
',[]
fawns,"['dun', 'greyish_brown', 'grayish_brown', 'fawn', 'crawl', 'creep', 'cringe', 'cower', 'grovel', 'toady', 'truckle', 'bootlick', 'kowtow', 'kotow']"
displeased,[]
behind,"['buttocks', 'nates', 'arse', 'butt', 'backside', 'bum', 'buns', 'can', 'fundament', 'hindquarters', 'hind_end', 'keister', 'posterior', 'prat', 'rear', 'rear_end', 'rump', 'stern', 'seat', 'tail', 'tail_end', 'tooshie', 'tush', 'bottom', 'derriere', 'fanny', 'ass', 'slow', 'behindhand']"
desire,"['want', 'hope']"
boys,"['male_child', 'boy']"
ephrath,[]
consumed,"['devour', 'down', 'consume', 'go_through', 'ingest', 'take_in', 'take', 'have', 'squander', 'waste', 'ware', 'eat_up', 'use_up', 'eat', 'deplete', 'exhaust', 'run_through']"
benjamin's,[]
stood,"['stand', 'stand_up', 'remain_firm', 'digest', 'endure', 'stick_out', 'stomach', 'bear', 'tolerate', 'support', 'brook', 'abide', 'suffer', 'put_up', 'place_upright', 'resist']"
baskets,"['basket', 'handbasket', 'basketful', 'basketball_hoop', 'hoop']"
avith,[]
hand,"['manus', 'mitt', 'paw', 'hired_hand', 'hired_man', 'handwriting', 'script', 'deal', 'bridge_player', 'helping_hand', 'pass', 'reach', 'pass_on', 'turn_over']"
travels,"['travel', 'traveling', 'travelling', 'change_of_location', 'locomotion', 'go', 'move', 'locomote', 'journey', 'trip', 'jaunt']"
