a,angstrom^angstrom_unit^A^vitamin_A^antiophthalmic_factor^axerophthol^deoxyadenosine_monophosphate^adenine^ampere^amp^type_A^group_A
firmament,celestial_sphere^sphere^empyrean^heavens^vault_of_heaven^welkin
amidst,
divide,watershed^water_parting^split^split_up^separate^dissever^carve_up^fraction^part^disunite
by,past^aside^away
this,
name,gens^figure^public_figure^epithet^call^identify^nominate^make^appoint^constitute^mention^advert^bring_up^cite^refer^discover^key^key_out^distinguish^describe^list^diagnose
is,be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
here,Hera^Here^hither
understood,understand^realize^realise^see^read^interpret^translate^infer^sympathize^sympathise^empathize^empathise^silent^tacit
whole,unit^unharmed^unhurt^unscathed^hale^solid^unanimous^wholly^entirely^completely^totally^all^altogether
space,infinite^outer_space^blank^distance^blank_space^place^quad
between,betwixt^'tween
highest,high^eminent^high-pitched^in_high_spirits^gamey^gamy^mellow
stars,star^ace^adept^champion^sensation^maven^mavin^virtuoso^genius^hotshot^superstar^whiz^whizz^wizard^wiz^principal^lead^headliner^asterisk^star_topology
lower,lower_berth^take_down^let_down^get_down^bring_down^lour^turn_down^depress^frown^glower^low^low-toned^low-pitched^abject^low-down^miserable^scummy^scurvy^humble^lowly^modest^small^depleted^broken^crushed^humbled^humiliated^gloomy^grim^blue^depressed^dispirited^down^downcast^downhearted^down_in_the_mouth^low-spirited
part,portion^component_part^component^constituent^piece^region^function^office^role^character^theatrical_role^persona^share^percentage^section^division^parting^voice^contribution^separate^split^split_up^break^break_up^depart^start^start_out^set_forth^set_off^set_out^take_off^divide^disunite^partially^partly
which,
divideth,
are,ar^be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
those,
above,supra^higher_up^in_a_higher_place^to_a_higher_place
clouds,cloud^swarm^overcast^obscure^befog^becloud^obnubilate^haze_over^fog^mist^defile^sully^corrupt^taint^mottle^dapple
were,be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
under,nether^below
so,sol^soh^thus^thusly^then^and_so^and_then^therefore^hence^thence^indeed
second,sec^s^moment^mo^minute^bit^second_base^instant^arcsecond^secondment^endorsement^indorsement^second_gear^irregular^back^endorse^indorse^2nd^2d^secondly
also,besides^too^likewise^as_well
gathered,gather^garner^collect^pull_together^meet^assemble^forgather^foregather^accumulate^cumulate^conglomerate^pile_up^amass^pucker^tuck^get_together^gain^collected
together,unitedly^in_concert
into,
place,topographic_point^spot^property^stead^position^lieu^shoes^home^post^berth^office^billet^situation^station^seat^plaza^piazza^space^blank_space^put^set^pose^lay^rate^rank^range^order^grade^locate^site^come_in^come_out^target^aim^direct^point^identify^localize^localise^invest^commit^send
dry,prohibitionist^dry_out^ironic^ironical^wry^juiceless^teetotal
