,[]
frequent,"['patronize', 'patronise', 'shop', 'shop_at', 'buy_at', 'sponsor']"
holidame,[]
moment,"['minute', 'second', 'instant', 'mo', 'bit', 'here_and_now', 'present_moment', 'consequence']"
walk'd,[]
coriolanus,[]
swimming,"['swim', 'float', 'drown', 'liquid']"
arrows,['arrow']
paradise,"['Eden', 'nirvana', 'heaven', 'promised_land', 'Shangri-la']"
deum,[]
felonious,[]
sweetmeats,[]
steterat',[]
who',[]
'sleep,[]
publish'd,[]
resting,"['rest', 'breathe', ""catch_one's_breath"", 'take_a_breather', 'lie', 'stay', 'remain', 'reside', 'repose', 'perch', 'roost']"
thwack,[]
pierced,"['pierce', 'thrust', 'perforated', 'perforate']"
bemete,[]
chiefly,"['principally', 'primarily', 'mainly']"
tokens,"['token', 'item', 'keepsake', 'souvenir']"
gives,"['give', 'spring', 'springiness', 'yield', 'afford', 'pay', 'hold', 'throw', 'have', 'make', 'gift', 'present', 'devote', 'render', 'return', 'generate', 'impart', 'leave', 'pass_on', 'establish', 'sacrifice', 'pass', 'hand', 'reach', 'turn_over', 'dedicate', 'consecrate', 'commit', 'apply', 'grant', 'move_over', 'give_way', 'ease_up', 'feed', 'contribute', 'chip_in', 'kick_in', 'collapse', 'fall_in', 'cave_in', 'break', 'founder']"
rebus'd,[]
divulging,"['unwrap', 'disclose', 'let_on', 'bring_out', 'reveal', 'discover', 'expose', 'divulge', 'break', 'give_away']"
graced,"['decorate', 'adorn', 'grace', 'ornament', 'embellish', 'beautify']"
beware,[]
overthrow,"['upset', 'derangement', 'subvert', 'overturn', 'bring_down', 'overrule', 'override']"
subduements,[]
wafer,[]
wreath'd,[]
infusing,"['inculcate', 'instill', 'infuse', 'impregnate', 'tincture']"
raves,"['rave', 'Royal_Air_Force', 'RAF', 'Red_Army_Faction', 'rant', 'mouth_off', 'jabber', 'spout', 'rabbit_on']"
majesties,"['stateliness', 'majesty']"
survive,"['last', 'live', 'live_on', 'go', 'endure', 'hold_up', 'hold_out', 'pull_through', 'pull_round', 'come_through', 'make_it', 'exist', 'subsist', 'outlive']"
stabb'd,[]
hideous,"['horrid', 'horrific', 'outrageous']"
residing,"['reside', 'shack', 'domicile', 'domiciliate', 'occupy', 'lodge_in', 'rest']"
helmet,[]
tribute,['testimonial']
almanacs,['almanac']
weariness,['fatigue']
teach,"['Teach', 'Edward_Teach', 'Thatch', 'Edward_Thatch', 'Blackbeard', 'learn']"
gallowglasses,[]
eas'd,[]
vaunter,"['bragger', 'braggart', 'boaster', 'blowhard']"
errand,[]
stupefy,"['besot', 'perplex', 'vex', 'stick', 'get', 'puzzle', 'mystify', 'baffle', 'beat', 'pose', 'bewilder', 'flummox', 'nonplus', 'gravel', 'amaze', 'dumbfound']"
stalk,"['chaff', 'husk', 'shuck', 'straw', 'stubble', 'stem', 'stalking', 'still_hunt', 'angry_walk']"
appetites,"['appetite', 'appetency']"
giddily,['dizzily']
anticipating,"['expect', 'anticipate', 'foresee', 'forestall', 'counter', 'previse', 'foreknow', 'predict', 'foretell', 'prognosticate', 'call', 'forebode', 'promise', 'look_for']"
joy's,[]
counterfeited,"['forge', 'fake']"
maskers],[]
ballow,[]
infringement,"['violation', 'misdemeanor', 'misdemeanour']"
hortensio],[]
unwiped,[]
worshipp'd,[]
scutcheons,"['finger_plate', 'escutcheon']"
raven's,[]
devoured,"['devour', 'down', 'consume', 'go_through', 'guttle', 'raven']"
commendation,['citation']
eater,[]
coy,['demure']
