in,inch^indium^In^atomic_number_49^Indiana^Hoosier_State^IN^inwards^inward
the,
beginning,commencement^first^outset^get-go^start^kickoff^starting_time^showtime^offset^origin^root^rootage^source^get_down^begin^get^start_out^set_about^set_out^commence^lead_off
god,God^Supreme_Being^deity^divinity^immortal^idol^graven_image
created,make^create^produce
heaven,Eden^paradise^nirvana^promised_land^Shangri-la^Heaven
and,
earth,Earth^world^globe^ground^land^dry_land^solid_ground^terra_firma^worldly_concern^earthly_concern
.,
was,Washington^Evergreen_State^WA^be^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
without,
form,word_form^signifier^descriptor^kind^sort^variety^shape^pattern^configuration^contour^conformation^human_body^physical_body^material_body^soma^build^figure^physique^anatomy^bod^chassis^frame^flesh^cast^variant^strain^var.^phase^class^grade^course^mannequin^manikin^mannikin^manakin^organize^organise^constitute^make^take_form^take_shape^spring^work^mold^mould^forge^imprint
",",
void,nothingness^nullity^nihility^vacancy^emptiness^vacuum^invalidate^annul^quash^avoid^nullify^vitiate^evacuate^empty^null
;,
darkness,dark^shadow^iniquity^wickedness^duskiness^swarthiness
upon,
face,human_face^expression^look^aspect^facial_expression^side^grimace^font^fount^typeface^case^boldness^nerve^brass^cheek^confront^face_up^front^present
of,
deep,trench^oceanic_abyss^bass^rich^thick^cryptic^cryptical^inscrutable^mysterious^mystifying^abstruse^recondite^deeply^late
spirit,tone^feel^feeling^flavor^flavour^look^smell^disembodied_spirit^emotional_state^intent^purport^liveliness^life^sprightliness^heart^spirit_up^inspirit
moved,travel^go^move^locomote^displace^proceed^be_active^act^affect^impress^strike^motivate^actuate^propel^prompt^incite^run^make_a_motion^affected^stirred^touched
waters,Waters^Ethel_Waters^amniotic_fluid^amnionic_fluid^water^H2O^body_of_water^water_system^water_supply^urine^piss^pee^piddle^weewee^irrigate
said,state^say^tell^allege^aver^suppose^read^order^enjoin^pronounce^articulate^enounce^sound_out^enunciate^aforesaid^aforementioned
let,Lashkar-e-Taiba^Lashkar-e-Toiba^Lashkar-e-Tayyiba^LET^Army_of_the_Pure^Army_of_the_Righteous^net_ball^allow^permit^countenance^get^have^lease^rent
there,at_that_place^in_that_location^in_that_respect^on_that_point^thither
be,beryllium^Be^glucinium^atomic_number_4^exist^equal^constitute^represent^make_up^comprise^follow^embody^personify^live^cost
