,petkus^petkus
councilwoman^englishwoman^gentlewoman(1)^chairwoman^spokeswoman^gentlewoman^congresswoman^noblewoman^assemblywoman^saleswoman^superwoman^catwoman^businesswoman^policewoman,trueman^trueman^woman
,bauble^bauble^cauble^bobble^fauble^kauble^auble
,irelands^irelands^ireland's
uprooting^uprooting^diluting^polluting^instituting^supercomputing^substituting^executing^commuting^reinstituting^saluting^rerouting^computing^refuting^recruiting^constituting^disputing^reconstituting^telecommuting^diluting(1)^recruiting(2)^recruiting(1)^persecuting^overshooting^parachuting^prosecuting,booting^suiting^looting^bruting^routing(1)^muting^shooting^rooting^fruiting
matelski^matelski^jaruzelski^pawelsky^pogorzelski^jaruzelski(1)^pawelski^smigelski,belsky
,blueprint^blueprint^shoeprint
,bodmer^bodmer
telecommuters^telecommuters^minicomputers^computers'^microcomputers^supercomputers^computers^commuters^prosecutor's^computer's^superminicomputers^polluters^prosecutors^telecommuter's^minisupercomputers^recruiters^persecutors,wooters^routers^hooters^grooters^scooters^suitor's^suitors^tutors^shooters^rooters^looters
pinquater^pinquater^seawater^sweetwater^imprimatur^meltwater^piotter^mccotter^groundwater^saltwater,yachter^trotter^notter^dotter^squatter^totter^motter^plotter^lotter^otter^potter^mahtar^cotter^kotter^zotter^schlotter^spotter^mater^hotter^rotter^blotter
glassblowers^glassblowers^churchgoers^whistleblowers^moviegoers^whistleblowers(1),goers^stowers^sowers^joers^moers^growers^throwers^mowers^blowers^growers'^broers^lowers
,sealift^sealift
,keyholes^keyholes
outfitters^babysitters^counterfeiters(1)^counterfeiters^transmitter's^transmitters,litters^litters^hitters^critters^ritter's^glitters^bitters^witters^quitters^sitters^jitters^witter's
ramlawi^dlouhy^borowy,howie^howie^cowie^wowie^dowie^maui^maue^howey^aoi^laue
mcferron^mccarren^oherron^mcferran^mclaren^mcferrin^susteren^mclerran^mcpheron^mccarran^betakeren^mcfarren^o'herron^mulheren^alaron^lebaron^maclaren^lebarron^mcferren^subsaharan,veron^veron^charron^haren^farron^sharon(1)^aron^mehran^theron^baron(1)^herren^nerren^perron^ferren^karen^geron^ehren^aran^heron^marron^aaron^zehren^charon^beron^ferran^yaron^ferron^barren(1)^herron^claran^sherron^charren^waren^charron(1)^beran^teran^karan^farren^karon^barron(1)^nerone^geran^faron
nutcracker^attacker^firecracker^kobacker^weizsaecker^carjacker^schabacker^backpacker^linebacker^hijacker^vanacker^meatpacker,hacker^hacker^lacher^lacquer^backer^bracher^bracker^thacher^bakker^acker^packer^sacher^whacker(1)^stacker^macher^slacker^makar^whacker^tracker^tacker^aker^cracker^thacker^wacker^blacker^zacher^schacher^akre^thakkar^racker
,implodes^implodes
